title:d1, start timestamp:2019-12-27T08:03:18.213918+03:00, stop timestamp:2019-12-27T08:03:48.908620+03:00, headset type:INSIGHT, headset serial:A2D200FB, headset firmware:930, subject name:Qasim, channels:44, sampling rate:eeg_128;pow_8, samples:3940      , version:2.0
Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.T7,EEG.Pz,EEG.T8,EEG.AF4,EEG.RawCq,EEG.Battery,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.T7,CQ.Pz,CQ.T8,CQ.AF4,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
1577422998.213918,57.000000,0.000000,4206.153809,4193.333496,4124.615234,4132.307617,4187.692383,0.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.221815,58.000000,0.000000,4175.897461,4190.256348,4102.563965,4116.410156,4178.461426,0.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.229612,59.000000,0.000000,4143.589844,4186.666504,4078.461426,4081.538574,4143.589844,0.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.237509,60.000000,0.000000,4146.666504,4193.333496,4090.769287,4096.410156,4125.641113,0.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.245306,61.000000,0.000000,4187.692383,4225.641113,4128.205078,4142.051270,4170.769043,0.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.253203,62.000000,0.000000,4204.102539,4224.102539,4138.461426,4154.871582,4207.692383,0.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.261000,63.000000,0.000000,4213.333496,4208.205078,4149.230957,4164.102539,4226.666504,0.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.268897,64.000000,0.000000,4210.256348,4195.384766,4145.128418,4149.743652,4229.230957,450.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.276694,65.000000,0.000000,4208.205078,4205.641113,4142.563965,4141.538574,4220.512695,450.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.284591,66.000000,0.000000,4227.692383,4228.205078,4162.563965,4152.307617,4235.384766,16167.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.001902,3.297510,3.465816,4.086529,2.092074,1.363917,1.472813,2.398825,2.196658,1.245635,67.672546,6.009501,3.730645,3.646305,1.397355,2.793811,2.280019,2.796765,3.979075,1.606203,1.835286,3.462291,3.036354,4.914813,1.994253
1577422998.292388,67.000000,0.000000,4145.128418,4155.897461,4115.384766,4107.692383,4177.436035,450.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.300085,68.000000,0.000000,4172.307617,4189.230957,4163.077148,4179.487305,4218.974121,16179.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.307882,69.000000,0.000000,4303.589844,4280.512695,4210.256348,4191.282227,4319.487305,450.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.315579,70.000000,0.000000,3995.897461,4009.230713,3957.435791,4003.076904,4052.820557,16120.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.323376,71.000000,0.000000,4085.641113,4111.282227,4084.615479,4262.051270,4180.000000,450.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.331073,72.000000,0.000000,4372.307617,4335.897461,4172.307617,4201.538574,4362.563965,450.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.338870,73.000000,0.000000,4036.923096,4044.615479,3870.769287,3843.589844,4007.179443,16135.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.346567,74.000000,0.000000,4126.666504,4144.102539,4044.615479,4166.666504,4153.846191,450.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.354364,75.000000,0.000000,4264.615234,4254.358887,4096.922852,4168.205078,4264.102539,16147.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.362062,76.000000,0.000000,4114.358887,4122.051270,3963.589844,4020.000000,4106.666504,450.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.369959,77.000000,0.000000,4224.102539,4206.153809,4067.692383,4188.717773,4226.153809,450.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.377756,78.000000,0.000000,4191.282227,4184.615234,4020.512939,4119.487305,4184.615234,450.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.385653,79.000000,0.000000,4157.436035,4171.794922,4009.230713,4101.025879,4157.948730,16147.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.393450,80.000000,0.000000,4193.333496,4189.230957,4030.769287,4132.820313,4200.512695,450.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.401248,81.000000,0.000000,4173.333496,4163.077148,4000.000000,4115.897461,4185.128418,450.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.408945,82.000000,0.000000,4180.000000,4163.077148,3999.487061,4126.153809,4190.769043,450.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,1.850950,4.017294,4.049902,3.830880,1.982725,1.174490,1.528515,2.585657,2.292580,1.162214,67.288864,8.485724,4.512418,3.140946,1.288530,3.578796,2.054574,3.435598,3.425003,1.455831,1.727631,3.703170,3.733377,4.293428,1.824167
1577422998.416742,83.000000,0.000000,4178.461426,4160.512695,3992.820557,4128.205078,4190.256348,16147.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.424439,84.000000,0.000000,4167.179688,4155.897461,3971.281982,4124.615234,4182.051270,450.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.432236,85.000000,0.000000,4157.948730,4130.256348,3946.153809,4116.922852,4162.051270,450.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.439933,86.000000,0.000000,4164.102539,4113.846191,3932.820557,4113.846191,4160.512695,450.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.447830,87.000000,0.000000,4188.717773,4136.922852,3938.461426,4127.179688,4188.717773,16147.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.455627,88.000000,0.000000,4191.794922,4147.179688,3929.230713,4126.666504,4190.256348,450.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.463524,89.000000,0.000000,4177.436035,4136.410156,3908.205078,4108.717773,4177.948730,450.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.471321,90.000000,0.000000,4177.948730,4140.000000,3908.718018,4108.205078,4178.461426,450.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.479218,91.000000,0.000000,4177.436035,4149.230957,3914.358887,4110.256348,4166.153809,16147.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.487115,92.000000,0.000000,4179.487305,4167.692383,3927.179443,4115.384766,4168.205078,450.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.494912,93.000000,0.000000,4166.153809,4171.282227,3925.128174,4109.743652,4162.563965,450.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.502709,94.000000,0.000000,4141.538574,4160.000000,3910.256348,4092.307617,4141.538574,450.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.510606,95.000000,0.000000,4156.922852,4179.487305,3931.794922,4097.436035,4160.512695,16147.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.518403,96.000000,0.000000,4192.820313,4203.589844,3967.692383,4112.820313,4205.128418,450.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.526100,97.000000,0.000000,4231.282227,4207.692383,3985.641113,4115.384766,4236.410156,450.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.533897,98.000000,0.000000,4281.538574,4207.179688,3996.410156,4105.641113,4258.461426,450.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,1.875017,5.176372,4.968041,3.788858,2.112089,1.132581,1.648681,2.761357,2.353462,1.220947,63.629700,11.642531,5.351154,2.818832,1.345403,4.253145,2.079950,4.267356,3.175212,1.498498,1.805773,4.308308,4.802869,3.927416,1.838022
1577422998.541594,99.000000,0.000000,4327.692383,4209.743652,4003.589844,4087.692383,4282.563965,16147.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.549391,100.000000,0.000000,4355.897461,4211.794922,3995.384521,4065.641113,4297.436035,450.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.557088,101.000000,0.000000,4380.512695,4203.077148,3984.102539,4050.256348,4298.974121,450.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.564885,102.000000,0.000000,4431.794922,4201.538574,4003.589844,4055.384521,4325.641113,450.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.572583,103.000000,0.000000,4463.077148,4205.128418,4018.974365,4042.051270,4340.512695,16147.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.580380,104.000000,0.000000,4461.025879,4205.128418,4022.564209,4025.128174,4337.436035,450.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.588077,105.000000,0.000000,4483.077148,4212.820313,4057.435791,4048.718018,4368.717773,450.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.595874,106.000000,0.000000,4501.538574,4221.025879,4094.871826,4064.102539,4383.077148,450.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.603571,107.000000,0.000000,4487.692383,4230.256348,4102.563965,4053.333252,4364.615234,16147.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.611468,108.000000,0.000000,4448.717773,4226.153809,4095.384521,4036.410156,4341.025879,450.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.619265,109.000000,0.000000,4398.461426,4198.461426,4093.846191,4022.051270,4303.077148,450.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.627162,110.000000,0.000000,4350.256348,4178.974121,4098.974121,4015.384521,4268.717773,450.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.634960,111.000000,0.000000,4292.307617,4180.512695,4092.307617,3999.487061,4235.384766,16147.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.642857,112.000000,0.000000,4262.051270,4194.358887,4092.820557,3999.487061,4214.871582,450.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.650654,113.000000,0.000000,4272.307617,4208.205078,4114.871582,4032.820557,4221.025879,450.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.658551,114.000000,0.000000,4254.358887,4207.692383,4116.922852,4040.512939,4211.794922,450.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.180370,6.863629,6.289053,3.992244,2.982663,1.305930,1.927461,2.972314,2.346499,1.824494,55.665295,14.825888,6.253636,2.808415,1.861183,4.819918,2.462060,5.283128,3.337759,2.271971,2.194222,5.507871,6.308183,3.910379,2.479489
1577422998.666348,115.000000,0.000000,4223.077148,4208.205078,4109.230957,4030.256348,4195.897461,16147.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.674245,116.000000,0.000000,4209.230957,4208.205078,4112.307617,4042.564209,4190.256348,450.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.682042,117.000000,0.000000,4170.769043,4192.820313,4092.820557,4031.281982,4158.461426,450.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.689939,118.000000,0.000000,4156.410156,4205.641113,4084.102539,4028.205078,4147.179688,450.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.697736,119.000000,0.000000,4192.820313,4229.743652,4107.692383,4074.871826,4184.102539,16147.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.705433,120.000000,0.000000,4182.563965,4213.333496,4104.102539,4084.102539,4180.000000,450.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.713230,121.000000,0.000000,4127.179688,4184.102539,4069.230713,4042.051270,4125.641113,450.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.720927,122.000000,0.000000,4123.077148,4173.846191,4065.641113,4052.820557,4120.000000,450.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.728724,123.000000,0.000000,4156.410156,4171.794922,4092.307617,4102.051270,4157.436035,16147.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.736421,124.000000,0.000000,4148.717773,4155.384766,4090.769287,4090.769287,4153.333496,450.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.744318,125.000000,0.000000,4136.922852,4158.461426,4086.666748,4071.794922,4140.000000,450.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.752115,126.000000,0.000000,4153.846191,4177.948730,4098.974121,4093.846191,4154.871582,450.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.760012,127.000000,0.000000,4149.230957,4167.179688,4090.769287,4092.820557,4156.410156,233.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.767810,0.000000,0.000000,4140.000000,4156.922852,4079.487061,4078.974365,4148.205078,450.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.775707,1.000000,0.000000,4140.000000,4157.436035,4075.384521,4076.923096,4137.436035,450.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.783504,2.000000,0.000000,4139.487305,4161.538574,4075.897461,4079.487061,4138.974121,16193.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.087540,9.082315,7.907202,4.418960,5.080976,1.799583,2.415464,3.220147,2.309242,3.371593,45.312252,17.690754,7.132023,3.130031,3.116715,5.226002,3.203069,6.375514,3.919807,4.335732,3.310529,7.252553,8.112859,4.239990,4.181632
1577422998.791401,3.000000,0.000000,4148.205078,4177.948730,4084.102539,4093.846191,4159.487305,450.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.799198,4.000000,0.000000,4145.641113,4175.897461,4073.846191,4094.358887,4151.794922,16181.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.807096,5.000000,0.000000,4141.025879,4158.974121,4071.794922,4089.230713,4135.384766,450.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.814893,6.000000,0.000000,4154.871582,4160.512695,4090.769287,4099.487305,4150.256348,16156.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.822790,7.000000,0.000000,4149.743652,4159.487305,4077.435791,4092.820557,4145.128418,450.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.830587,8.000000,0.000000,4144.615234,4168.205078,4073.333252,4095.384521,4139.487305,450.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.838484,9.000000,0.000000,4164.615234,4183.589844,4097.948730,4119.487305,4168.717773,16158.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.846282,10.000000,0.000000,4156.922852,4165.128418,4078.974365,4118.461426,4162.563965,450.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.854178,11.000000,0.000000,4135.897461,4159.487305,4034.871826,4103.077148,4126.153809,16196.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.861975,12.000000,0.000000,4134.871582,4181.025879,4015.384521,4100.512695,4125.641113,450.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.869772,13.000000,0.000000,4113.846191,4169.230957,3976.923096,4083.076904,4114.358887,450.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.877470,14.000000,0.000000,4087.692383,4141.538574,3918.974365,4062.564209,4081.025635,450.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.885366,15.000000,0.000000,4119.487305,4163.077148,3918.974365,4094.871826,4113.846191,16196.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.893163,16.000000,0.000000,4168.717773,4208.717773,3943.589844,4136.410156,4172.307617,0.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.900861,17.000000,0.000000,4164.102539,4189.230957,3911.794922,4114.871582,4164.615234,0.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.908658,18.000000,0.000000,4153.333496,4101.538574,3884.102539,4090.256348,4148.717773,0.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,12.651075,11.809118,9.540097,4.954545,8.439630,2.749554,3.072762,3.454646,2.292631,5.903340,34.489265,19.882952,7.839050,3.637731,5.123199,5.637235,4.129069,7.354553,4.767027,7.791508,6.784330,9.230525,9.931222,4.759080,6.985926
1577422998.916355,19.000000,0.000000,4160.512695,4027.692383,3891.794922,4092.820557,4154.358887,0.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.924252,20.000000,0.000000,4151.282227,4020.512939,3887.692383,4084.102539,4140.000000,0.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.932049,21.000000,0.000000,4165.641113,4048.718018,3909.743652,4093.846191,4145.128418,0.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.939946,22.000000,0.000000,4187.692383,4016.923096,3948.718018,4106.666504,4160.000000,0.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.947743,23.000000,0.000000,4179.487305,3957.435791,3966.666748,4098.974121,4156.922852,0.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.955541,24.000000,0.000000,4193.333496,3961.025635,4007.179443,4114.358887,4170.256348,0.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.963238,25.000000,0.000000,4218.974121,3984.615479,4059.487061,4131.794922,4187.179688,0.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.971035,26.000000,0.000000,4194.871582,3976.410156,4082.564209,4107.179688,4173.333496,0.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.978732,27.000000,0.000000,4172.820313,3981.025635,4111.282227,4080.512939,4158.461426,0.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.986529,28.000000,0.000000,4214.358887,4013.846191,4173.846191,4104.102539,4194.871582,0.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422998.994226,29.000000,0.000000,4248.717773,3996.923096,4225.128418,4134.871582,4228.717773,0.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422999.002023,30.000000,0.000000,4206.666504,3910.769287,4207.692383,4106.666504,4187.692383,0.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422999.009720,31.000000,0.000000,4169.743652,3863.076904,4168.717773,4078.974365,4154.358887,0.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422999.017517,32.000000,0.000000,4174.358887,3878.461426,4162.563965,4089.743652,4165.128418,0.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422999.025214,33.000000,0.000000,4181.025879,3885.128174,4161.538574,4088.205078,4172.307617,0.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422999.033111,34.000000,0.000000,4206.666504,3891.281982,4157.948730,4095.897461,4191.794922,0.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,33.249790,14.806695,10.753750,5.423446,12.424519,4.197096,3.806729,3.541573,2.332177,8.930718,24.799206,20.903704,8.219837,4.108455,7.501955,6.223802,4.947803,7.984346,5.609681,12.033959,14.476414,10.914495,11.344250,5.228935,10.364542
1577422999.040909,35.000000,0.000000,4218.461426,3916.923096,4148.205078,4121.538574,4210.256348,0.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422999.048806,36.000000,0.000000,4202.563965,3930.256348,4114.358887,4124.615234,4203.077148,0.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577422999.056603,37.000000,0.000000,4190.256348,3919.487061,4063.589844,4102.051270,4184.102539,0.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
